번호,개방자치단체코드,인허가일자,소재지전체주소,사업장명
1,3620000,2012.12.24,광주광역시 북구 두암동 927-1,엔젤동물병원
2,3620000,2013.3.12,광주광역시 북구 신용동 691번지,첨단동물병원
3,3620000,2015.5.26,광주광역시 북구 오치동 1028-27,김앤강 동물병원
4,3620000,2016.1.21,광주광역시 북구 본촌동 378-6번지,광주광역시동물보호소부속동물병원
5,3620000,1991.7.10,광주광역시 북구 양산동 273-7번지,운암동물병원
6,3620000,1996.4.17,광주광역시 북구 우산동 232-10,말바우동물병원
7,3620000,2017.1.5,,광주동물보호소 부속 동물병원
8,3450000,1981.8.24,대구광역시 북구 대현동 229-19번지,북부동물병원
9,3450000,1992.4.13,대구광역시 북구 산격동 495-42,복현동물병원
10,3450000,1993.8.10,대구광역시 북구 대현동 270-13  번지,세진동물병원
11,3450000,2000.8.10,대구광역시 북구 침산동 222-7번지,플러스동물병원
12,3450000,2002.8.9,대구광역시 북구 읍내동 443-3번지,강북동물병원약품
13,3450000,2003.3.14,대구광역시 북구 동변동 686-3번지,수동물병원
14,3450000,1981.8.24,대구광역시 북구 태전동 476-1번지,대성동물병원
15,3450000,1981.8.24,대구광역시 북구 노원동3가 772-2   번지,천일동물병원
16,3450000,1981.8.24,대구광역시 북구 고성동2가 117-6번지,서부동물병원
17,3450000,2003.4.11,대구광역시 북구 산격동 1291-20번지,다나동물병원
18,3450000,2005.3.4,대구광역시 북구 구암동 811-6번지,임프로바이오동물병원
19,3450000,2006.12.4,대구광역시 북구 구암동 811-6번지,임프로바이오동물병원
20,3450000,2007.11.7,대구광역시 북구 구암동 811-6번지,임프로바이오
21,5410000,1973.2.12,경상남도 창녕군 대합면 십이리 438-3번지,대합가축병원
22,5410000,2004.10.15,경상남도 창녕군 창녕읍 술정리 171-1번지,자연동물병원
23,5410000,1979.6.8,경상남도 창녕군 창녕읍 교리 992-10번지,박수의과병원
24,5410000,1979.12.1,경상남도 창녕군 대지면 구미리 203-3번지,명성동물병원
25,5410000,1995.4.29,경상남도 창녕군 창녕읍 술정리 171-1번지,황영균동물병원
26,5410000,1999.2.25,경상남도 창녕군 창녕읍 술정리 348-2번지 15통14반,창생동물병원
27,5410000,1964.11.2,경상남도 창녕군 이방면 거남리 397-1번지,이방가축병원&lt;산업동물출장진료전문병원&gt;
28,5410000,1967.12.7,경상남도 창녕군 남지읍 남지리 612-15번지 3통1반,우리가축병원
29,5410000,1963.4.11,경상남도 창녕군 영산면 서리 110-3 5통3반,영산가축병원&lt;산업동물출장진료전문병원&gt;
30,5420000,1997.12.29,경상남도 고성군 고성읍 서외리 1-6번지 한솔메르빌 상가 나동109호,백호종합동물병원
31,5420000,2013.8.23,경상남도 고성군 고성읍 서외리 1-6번지,경남수의 동물병원
32,5420000,2000.7.1,경상남도 고성군 고성읍 동외리 287-12번지,고성동물병원
33,5420000,2000.7.6,경상남도 고성군 고성읍 송학리 125-3번지,동양가축약품병원
34,5460000,2003.3.15,경상남도 함양군 수동면 화산리 1251-2,중앙동물병원
35,5460000,2003.3.15,경상남도 함양군 안의면 금천리 121-3번지,고려동물병원
36,4610000,1989.7.5,충청남도 예산군 예산읍 주교리 225-9번지,한일 동물병원
37,4610000,1994.1.20,충청남도 예산군 예산읍 예산리 581-2번지,협동 동물병원
38,4610000,2001.7.16,충청남도 예산군 고덕면 대천리 770-13번지,예당 동물병원
39,4610000,2003.10.13,충청남도 예산군 고덕면 대천리 770-13번지,예당동물병원
40,4610000,2008.1.9,충청남도 예산군 고덕면 대천리 770-13  번지,예당가축병원
41,4610000,2008.2.21,충청남도 예산군 고덕면 대천리 770-13  번지,예당가축병원
42,4610000,2008.10.9,충청남도 예산군 고덕면 대천리 770-13  번지,예당가축병원
43,4610000,2009.2.19,충청남도 예산군 예산읍 주교리 225-9   번지,한일동물병원
44,4610000,2010.3.9,충청남도 예산군 예산읍 주교리 279-5번지,대성인터내셔널동물병원
45,4490000,1999.10.22,충청남도 천안시 동남구 쌍용동 1951번지,맑은
46,4490000,2000.3.6,충청남도 천안시 동남구 병천면 병천리 209-2번지,아우내
47,4490000,2000.11.16,충청남도 천안시 서북구 성환읍 성환리 449-742 번지,용
48,4490000,2001.5.23,충청남도 천안시 동남구 쌍용동 198-1번지,늘푸른동물병원(신방점)
49,4490000,1994.8.19,충청남도 천안시 서북구 성환읍 성환리 432-4,한샘동물병원
50,4490000,2002.4.11,충청남도 천안시 동남구 쌍용동 2030번지,가람
51,4490000,2002.4.15,충청남도 천안시 동남구 신부동 85번지 대아@ 상가 102동 105호,대아
52,4490000,2002.5.15,충청남도 천안시 동남구 원성동 597-2번지,신대원
53,4490000,2002.10.30,충청남도 천안시 서북구 성환읍 성환리 449-118 번지,성환
54,4490000,2002.12.5,충청남도 천안시 동남구 신방동 784-9번지 홈플러스 1층,쿨펫 천안신방점
55,4490000,2003.4.25,충청남도 천안시 동남구 쌍용동 695번지,쌍용동물병원
56,4490000,2003.12.10,충청남도 천안시 서북구 성정동 1485번지 롯데마트 3층,아야야 동물병원
57,4490000,2004.3.17,충청남도 천안시 서북구 부대동 139-11 번지,대원동물병원
